"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
578,"No",54,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",8,4,"Life Sciences",3,3,2,3,3780,7,"No",11,3,3,0,19,3,3,1,0,0,0,"45-54","1-2 years","3000-4999","6-10","0-1 years",0
579,"No",34,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",2,4,"Life Sciences",4,2,1,3,2768,3,"No",12,3,3,1,14,3,3,7,3,5,7,"25-34","6-10 years","Under 3000","1-5","4-5 years",0
580,"No",46,"Sales","Sales Executive","Female","Married","Travel_Rarely",10,3,"Marketing",3,2,3,4,9071,2,"Yes",19,3,3,1,15,3,3,3,2,1,2,"45-54","3-5 years","7000-9999","6-10","0-1 years",0
581,"No",31,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",9,1,"Life Sciences",3,3,3,2,10648,1,"No",25,4,4,1,13,6,4,13,8,0,8,"25-34","10+ years","10000+","6-10","0-1 years",0
582,"Yes",33,"Research & Development","Manager","Male","Married","Travel_Rarely",15,1,"Medical",2,3,3,3,13610,7,"Yes",12,3,4,0,15,2,4,7,6,7,7,"25-34","6-10 years","10000+","11-20","6+ years",1
584,"Yes",33,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",10,1,"Medical",1,1,1,4,3408,7,"No",13,3,1,3,8,2,3,4,3,1,3,"25-34","3-5 years","3000-4999","6-10","0-1 years",1
585,"No",30,"Sales","Sales Representative","Male","Single","Travel_Rarely",7,1,"Marketing",4,3,1,2,2983,0,"No",14,3,1,0,4,3,3,3,2,1,2,"25-34","3-5 years","Under 3000","6-10","0-1 years",0
586,"No",35,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",16,3,"Life Sciences",4,3,3,3,7632,4,"Yes",12,3,3,0,10,2,3,8,7,0,0,"35-44","6-10 years","7000-9999","11-20","0-1 years",0
587,"Yes",31,"Research & Development","Healthcare Representative","Male","Married","Travel_Frequently",20,3,"Life Sciences",1,3,3,3,9824,3,"No",12,3,1,0,12,2,3,1,0,0,0,"25-34","1-2 years","7000-9999","11-20","0-1 years",1
590,"Yes",34,"Human Resources","Human Resources","Female","Divorced","Travel_Frequently",23,3,"Human Resources",2,3,3,1,9950,9,"Yes",15,3,3,3,11,2,3,3,2,0,2,"25-34","3-5 years","7000-9999","21+","0-1 years",1
591,"No",42,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",5,2,"Other",2,3,1,3,2093,4,"No",17,3,4,1,8,4,3,2,2,2,0,"35-44","1-2 years","Under 3000","1-5","2-3 years",0
592,"No",36,"Sales","Sales Executive","Male","Single","Non-Travel",10,4,"Medical",2,3,3,4,9980,1,"No",14,3,4,0,10,3,2,10,3,9,7,"35-44","6-10 years","7000-9999","6-10","6+ years",0
593,"Yes",22,"Research & Development","Laboratory Technician","Male","Single","Travel_Frequently",4,1,"Technical Degree",3,2,1,3,3894,5,"No",16,3,3,0,4,3,3,2,2,1,2,"Under 25","1-2 years","3000-4999","1-5","0-1 years",1
595,"No",48,"Sales","Sales Executive","Female","Married","Travel_Rarely",2,5,"Marketing",2,3,2,4,4051,2,"No",14,3,1,1,14,2,3,9,7,6,7,"45-54","6-10 years","3000-4999","1-5","6+ years",0
597,"No",55,"Sales","Manager","Female","Single","Travel_Rarely",18,5,"Life Sciences",1,3,4,2,16835,3,"No",23,4,4,0,37,2,3,10,9,7,7,"55+","6-10 years","10000+","11-20","6+ years",0
599,"No",41,"Sales","Sales Executive","Male","Single","Non-Travel",10,2,"Life Sciences",4,3,2,4,6230,7,"No",14,3,4,0,16,3,3,14,3,1,10,"35-44","10+ years","5000-6999","6-10","0-1 years",0
600,"No",35,"Sales","Sales Executive","Male","Married","Travel_Rarely",1,3,"Marketing",2,3,2,3,4717,9,"No",11,3,3,0,15,2,3,11,9,6,9,"35-44","10+ years","3000-4999","1-5","6+ years",0
601,"No",40,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",6,3,"Life Sciences",2,3,4,3,13237,7,"No",15,3,3,0,22,3,3,20,6,5,13,"35-44","10+ years","10000+","6-10","4-5 years",0
602,"No",39,"Research & Development","Laboratory Technician","Female","Married","Travel_Frequently",8,1,"Life Sciences",3,3,1,3,3755,1,"No",11,3,1,1,8,3,3,8,3,0,7,"35-44","6-10 years","3000-4999","6-10","0-1 years",0
604,"No",31,"Sales","Sales Executive","Male","Single","Travel_Rarely",2,1,"Life Sciences",2,3,2,4,6582,4,"Yes",13,3,3,0,10,2,4,6,5,0,5,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
605,"No",42,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",24,3,"Medical",4,3,3,1,7406,1,"Yes",21,4,4,1,10,5,2,10,9,5,8,"35-44","6-10 years","7000-9999","21+","4-5 years",0
606,"No",45,"Sales","Sales Executive","Male","Married","Travel_Rarely",2,3,"Other",4,3,2,2,4805,0,"No",19,3,2,1,9,3,4,8,7,3,7,"45-54","6-10 years","3000-4999","1-5","2-3 years",0
608,"Yes",26,"Human Resources","Human Resources","Female","Divorced","Travel_Frequently",17,4,"Life Sciences",2,3,1,3,2741,0,"Yes",11,3,2,1,8,2,2,7,7,1,0,"25-34","6-10 years","Under 3000","11-20","0-1 years",1
611,"No",29,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",19,3,"Technical Degree",4,3,2,4,4262,4,"No",12,3,2,2,8,2,4,3,2,1,2,"25-34","3-5 years","3000-4999","11-20","0-1 years",0
612,"No",33,"Research & Development","Research Director","Female","Divorced","Travel_Rarely",1,5,"Medical",1,4,4,3,16184,4,"No",19,3,3,1,10,2,3,6,1,0,5,"25-34","6-10 years","10000+","1-5","0-1 years",0
613,"No",31,"Sales","Manager","Male","Divorced","Travel_Rarely",7,3,"Life Sciences",3,2,3,4,11557,9,"No",21,4,3,1,10,3,2,5,4,0,1,"25-34","3-5 years","10000+","6-10","0-1 years",0
614,"Yes",18,"Sales","Sales Representative","Male","Single","Travel_Frequently",5,3,"Marketing",2,3,1,2,1878,1,"Yes",14,3,4,0,0,3,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","1-5","0-1 years",1
615,"No",40,"Sales","Sales Executive","Male","Divorced","Non-Travel",28,3,"Other",3,1,3,1,10932,3,"No",15,3,3,1,20,2,3,1,0,0,1,"35-44","1-2 years","10000+","21+","0-1 years",0
616,"No",41,"Research & Development","Healthcare Representative","Female","Single","Non-Travel",2,4,"Other",1,2,2,3,6811,2,"Yes",17,3,1,0,10,3,3,8,7,0,7,"35-44","6-10 years","5000-6999","1-5","0-1 years",0
618,"No",26,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",29,2,"Medical",1,3,2,3,4306,5,"No",12,3,1,2,8,5,3,0,0,0,0,"25-34","Under 1 year","3000-4999","21+","0-1 years",0
620,"No",35,"Sales","Sales Executive","Female","Single","Travel_Rarely",1,3,"Medical",1,3,2,3,4859,1,"No",16,3,4,0,5,3,3,5,4,0,3,"35-44","3-5 years","3000-4999","1-5","0-1 years",0
621,"No",34,"Sales","Sales Executive","Male","Single","Travel_Rarely",21,4,"Life Sciences",4,4,2,4,5337,1,"No",12,3,4,0,10,3,3,10,7,5,7,"25-34","6-10 years","5000-6999","21+","4-5 years",0
622,"Yes",26,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",24,3,"Technical Degree",3,1,1,4,2340,1,"Yes",18,3,2,0,1,3,1,1,0,0,0,"25-34","1-2 years","Under 3000","21+","0-1 years",1
623,"No",37,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",1,3,"Technical Degree",2,3,3,4,7491,4,"No",17,3,4,0,12,3,4,6,5,1,2,"35-44","6-10 years","7000-9999","1-5","0-1 years",0
624,"No",46,"Research & Development","Healthcare Representative","Female","Married","Travel_Frequently",18,1,"Medical",1,3,3,3,10527,5,"No",11,3,4,0,28,3,2,2,2,1,2,"45-54","1-2 years","10000+","11-20","0-1 years",0
625,"No",41,"Sales","Manager","Female","Married","Travel_Rarely",2,5,"Life Sciences",2,3,4,1,16595,7,"No",16,3,2,1,22,2,3,18,16,11,8,"35-44","10+ years","10000+","1-5","6+ years",0
626,"No",37,"Sales","Sales Executive","Male","Divorced","Non-Travel",9,4,"Medical",1,3,3,2,8834,1,"No",13,3,4,1,9,6,3,9,5,7,7,"35-44","6-10 years","7000-9999","6-10","6+ years",0
630,"No",52,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",6,2,"Technical Degree",4,3,2,1,5577,3,"Yes",12,3,2,2,18,3,3,10,9,6,9,"45-54","6-10 years","5000-6999","6-10","6+ years",0
631,"Yes",32,"Sales","Sales Executive","Male","Married","Non-Travel",11,4,"Other",4,4,2,3,4707,8,"No",12,3,4,0,6,2,3,4,2,1,2,"25-34","3-5 years","3000-4999","11-20","0-1 years",1
632,"No",24,"Sales","Sales Representative","Male","Married","Travel_Frequently",24,3,"Medical",4,3,1,4,2400,0,"No",13,3,3,2,3,3,3,2,2,2,1,"Under 25","1-2 years","Under 3000","21+","2-3 years",0
634,"No",38,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",10,3,"Medical",3,3,2,3,9824,3,"No",19,3,3,1,18,4,3,1,0,0,0,"35-44","1-2 years","7000-9999","6-10","0-1 years",0
635,"No",37,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",1,4,"Life Sciences",2,3,2,2,6447,6,"No",12,3,2,1,8,2,2,6,5,4,3,"35-44","6-10 years","5000-6999","1-5","4-5 years",0
638,"No",49,"Research & Development","Research Director","Male","Divorced","Travel_Rarely",18,4,"Life Sciences",4,2,5,3,19502,1,"Yes",17,3,3,1,31,5,3,31,9,0,9,"45-54","10+ years","10000+","11-20","0-1 years",0
639,"No",24,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",23,3,"Medical",2,4,1,4,2725,1,"Yes",11,3,2,2,6,3,3,6,5,1,4,"Under 25","6-10 years","Under 3000","21+","0-1 years",0
641,"No",26,"Sales","Sales Executive","Male","Married","Travel_Rarely",28,2,"Marketing",1,3,2,2,6272,1,"No",20,4,4,2,6,5,4,5,3,1,4,"25-34","3-5 years","5000-6999","21+","0-1 years",0
643,"No",24,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",17,2,"Other",4,2,1,2,2127,1,"No",21,4,4,1,1,2,3,1,0,0,0,"Under 25","1-2 years","Under 3000","11-20","0-1 years",0
644,"No",50,"Human Resources","Manager","Male","Married","Travel_Frequently",3,3,"Medical",1,3,5,2,18200,1,"No",11,3,3,1,32,2,3,32,5,10,7,"45-54","10+ years","10000+","1-5","6+ years",0
645,"No",25,"Sales","Sales Representative","Male","Married","Travel_Rarely",13,1,"Medical",2,3,1,3,2096,1,"No",11,3,3,0,7,1,3,7,4,0,6,"25-34","6-10 years","Under 3000","11-20","0-1 years",0
647,"Yes",24,"Research & Development","Laboratory Technician","Female","Married","Travel_Frequently",7,3,"Life Sciences",1,3,1,3,2886,1,"Yes",16,3,4,1,6,4,3,6,3,1,2,"Under 25","6-10 years","Under 3000","6-10","0-1 years",1
648,"Yes",30,"Sales","Sales Representative","Male","Married","Travel_Frequently",12,4,"Life Sciences",2,2,1,1,2033,1,"No",18,3,3,1,1,2,4,1,0,0,0,"25-34","1-2 years","Under 3000","11-20","0-1 years",1
649,"No",34,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,2,"Life Sciences",2,2,1,4,3622,1,"Yes",13,3,4,1,6,3,3,6,5,1,3,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
650,"Yes",31,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",13,4,"Medical",2,3,2,1,4233,2,"No",17,3,3,0,9,2,1,3,1,1,2,"25-34","3-5 years","3000-4999","11-20","0-1 years",1
652,"No",35,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",25,2,"Other",1,2,2,4,3681,4,"No",14,3,4,0,9,3,3,3,2,0,2,"35-44","3-5 years","3000-4999","21+","0-1 years",0
653,"No",31,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",6,4,"Medical",1,4,2,4,5460,4,"No",22,4,4,2,13,4,4,7,7,5,7,"25-34","6-10 years","5000-6999","6-10","4-5 years",0
655,"No",27,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",6,4,"Medical",1,2,1,3,2187,0,"No",12,3,3,2,6,5,2,5,3,0,3,"25-34","3-5 years","Under 3000","6-10","0-1 years",0
656,"No",37,"Sales","Sales Executive","Male","Married","Travel_Rarely",2,3,"Marketing",4,3,2,3,9602,4,"Yes",11,3,3,1,17,3,2,3,0,1,0,"35-44","3-5 years","7000-9999","1-5","0-1 years",0
657,"No",20,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",1,3,"Life Sciences",4,2,1,2,2836,1,"No",13,3,4,0,1,0,4,1,0,0,0,"Under 25","1-2 years","Under 3000","1-5","0-1 years",0
659,"No",42,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",2,4,"Life Sciences",3,3,2,4,4089,1,"No",13,3,2,2,10,4,3,10,2,2,2,"35-44","6-10 years","3000-4999","1-5","2-3 years",0
661,"No",43,"Research & Development","Research Director","Male","Divorced","Travel_Rarely",6,4,"Other",2,2,4,4,16627,4,"Yes",14,3,3,1,21,3,2,1,0,0,0,"35-44","1-2 years","10000+","6-10","0-1 years",0
662,"No",38,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",1,1,"Life Sciences",3,3,1,1,2619,3,"No",17,3,4,0,8,3,2,0,0,0,0,"35-44","Under 1 year","Under 3000","1-5","0-1 years",0
663,"No",43,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Frequently",9,5,"Medical",4,3,2,3,5679,3,"Yes",13,3,2,1,10,3,3,8,7,4,7,"35-44","6-10 years","5000-6999","6-10","4-5 years",0
664,"No",48,"Research & Development","Manager","Female","Married","Travel_Rarely",1,4,"Life Sciences",4,2,4,1,15402,7,"No",11,3,1,1,21,3,1,3,2,0,2,"45-54","3-5 years","10000+","1-5","0-1 years",0
665,"No",44,"Human Resources","Human Resources","Female","Single","Travel_Rarely",1,4,"Life Sciences",1,2,2,3,5985,4,"No",11,3,2,0,10,1,4,2,2,0,2,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
666,"No",34,"Sales","Sales Representative","Female","Divorced","Travel_Rarely",14,3,"Technical Degree",3,3,1,3,2579,1,"Yes",18,3,4,2,8,3,3,8,2,0,6,"25-34","6-10 years","Under 3000","11-20","0-1 years",0
667,"Yes",27,"Sales","Sales Representative","Male","Divorced","Travel_Rarely",2,1,"Marketing",3,3,1,1,3041,0,"No",11,3,2,1,5,3,3,4,3,0,2,"25-34","3-5 years","3000-4999","1-5","0-1 years",1
669,"No",21,"Sales","Sales Representative","Male","Single","Travel_Rarely",22,1,"Technical Degree",3,3,1,3,3447,1,"No",11,3,3,0,3,2,3,3,2,1,2,"Under 25","3-5 years","3000-4999","21+","0-1 years",0
671,"No",44,"Research & Development","Manager","Male","Married","Travel_Rarely",3,4,"Other",4,3,5,4,19513,4,"Yes",12,3,1,1,26,2,4,2,2,0,1,"35-44","1-2 years","10000+","1-5","0-1 years",0
675,"No",22,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",6,1,"Medical",1,3,1,3,2773,0,"No",20,4,4,0,3,3,3,2,2,2,2,"Under 25","1-2 years","Under 3000","6-10","2-3 years",0
677,"No",33,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",8,4,"Marketing",3,3,2,3,7104,0,"No",12,3,4,0,6,3,3,5,0,1,2,"25-34","3-5 years","7000-9999","6-10","0-1 years",0
679,"No",32,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",9,4,"Life Sciences",1,3,2,4,6322,1,"Yes",12,3,4,1,6,2,2,6,4,0,5,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
680,"No",30,"Research & Development","Research Scientist","Female","Divorced","Travel_Frequently",3,3,"Medical",3,3,1,3,2083,1,"No",20,4,3,1,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
682,"No",53,"Sales","Sales Executive","Female","Single","Travel_Rarely",1,1,"Medical",4,3,2,1,8381,7,"No",20,4,4,0,18,2,4,14,7,8,10,"45-54","10+ years","7000-9999","1-5","6+ years",0
683,"No",34,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,5,"Life Sciences",2,3,1,4,2691,1,"No",12,3,4,1,10,4,2,10,9,8,8,"25-34","6-10 years","Under 3000","1-5","6+ years",0
684,"Yes",45,"Sales","Sales Executive","Female","Married","Travel_Frequently",26,4,"Life Sciences",1,3,2,1,4286,2,"No",14,3,4,2,5,4,3,1,1,0,0,"45-54","1-2 years","3000-4999","21+","0-1 years",1
686,"No",26,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",6,3,"Life Sciences",3,3,1,4,2659,1,"Yes",13,3,3,1,3,2,3,3,2,0,2,"25-34","3-5 years","Under 3000","6-10","0-1 years",0
689,"No",37,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",3,3,"Other",3,3,3,3,9434,1,"No",15,3,3,1,10,2,3,10,7,7,8,"35-44","6-10 years","7000-9999","1-5","6+ years",0
690,"No",29,"Sales","Sales Executive","Female","Married","Travel_Rarely",3,2,"Medical",2,3,2,3,5561,1,"No",14,3,1,1,6,5,2,6,0,1,2,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
691,"No",35,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",6,4,"Life Sciences",2,1,2,4,6646,1,"No",13,3,2,0,17,3,3,17,11,11,8,"35-44","10+ years","5000-6999","6-10","6+ years",0
692,"No",33,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Frequently",6,3,"Life Sciences",3,3,2,4,7725,3,"No",23,4,3,1,15,2,1,13,11,4,7,"25-34","10+ years","7000-9999","6-10","4-5 years",0
698,"No",54,"Human Resources","Human Resources","Male","Married","Travel_Rarely",19,4,"Medical",3,3,3,2,10725,2,"No",15,3,3,1,16,1,4,9,7,7,1,"45-54","6-10 years","10000+","11-20","6+ years",0
699,"No",36,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",9,2,"Medical",2,2,2,2,8847,2,"Yes",11,3,3,1,13,2,3,3,2,0,2,"35-44","3-5 years","7000-9999","6-10","0-1 years",0
700,"No",27,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",3,4,"Medical",1,2,1,4,2045,0,"No",13,3,4,0,5,0,3,4,2,1,1,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
701,"Yes",20,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",10,1,"Medical",4,3,1,3,1009,1,"Yes",11,3,4,0,1,5,3,1,0,1,1,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
702,"Yes",33,"Research & Development","Research Scientist","Male","Single","Travel_Frequently",3,3,"Life Sciences",1,3,1,1,3348,1,"Yes",11,3,1,0,10,3,3,10,8,9,7,"25-34","6-10 years","3000-4999","1-5","6+ years",1
704,"No",35,"Research & Development","Laboratory Technician","Male","Married","Non-Travel",3,3,"Life Sciences",3,2,1,3,1281,1,"No",18,3,3,2,1,3,3,1,0,0,0,"35-44","1-2 years","Under 3000","1-5","0-1 years",0
705,"No",23,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",4,3,"Medical",1,4,1,1,2819,2,"No",16,3,1,1,5,3,4,3,2,0,2,"Under 25","3-5 years","Under 3000","1-5","0-1 years",0
707,"No",25,"Sales","Sales Executive","Male","Married","Travel_Rarely",8,3,"Life Sciences",4,4,2,2,4851,0,"No",22,4,3,1,4,4,3,3,2,1,2,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
709,"No",38,"Sales","Sales Executive","Female","Single","Travel_Rarely",7,4,"Marketing",4,2,2,4,4028,0,"No",20,4,1,0,8,2,3,7,7,0,5,"35-44","6-10 years","3000-4999","6-10","0-1 years",0
710,"No",29,"Research & Development","Research Scientist","Male","Divorced","Travel_Frequently",1,4,"Life Sciences",2,1,1,4,2720,1,"No",18,3,4,1,10,5,3,10,7,2,8,"25-34","6-10 years","Under 3000","1-5","2-3 years",0
712,"No",48,"Sales","Sales Executive","Male","Married","Travel_Rarely",2,1,"Marketing",2,4,2,2,8120,3,"No",12,3,4,0,12,3,3,2,2,2,2,"45-54","1-2 years","7000-9999","1-5","2-3 years",0
714,"No",27,"Sales","Sales Executive","Female","Divorced","Travel_Frequently",3,1,"Medical",4,4,2,4,4647,1,"Yes",20,4,2,2,6,3,3,6,5,0,4,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
715,"No",37,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",10,2,"Life Sciences",4,4,1,4,4680,3,"No",17,3,1,0,4,2,3,1,0,0,0,"35-44","1-2 years","3000-4999","6-10","0-1 years",0
716,"No",50,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",28,1,"Medical",4,4,1,3,3221,1,"Yes",11,3,3,3,20,3,3,20,8,3,8,"45-54","10+ years","3000-4999","21+","2-3 years",0
717,"No",34,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",9,3,"Medical",4,2,3,2,8621,1,"No",14,3,2,0,9,3,4,8,7,7,7,"25-34","6-10 years","7000-9999","6-10","6+ years",0
720,"Yes",24,"Sales","Sales Executive","Female","Single","Travel_Rarely",3,2,"Life Sciences",1,3,2,3,4577,9,"No",14,3,1,0,4,3,3,2,2,2,0,"Under 25","1-2 years","3000-4999","1-5","2-3 years",1
721,"No",39,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",2,4,"Technical Degree",4,2,2,3,4553,1,"No",11,3,1,0,20,4,3,20,7,11,10,"35-44","10+ years","3000-4999","1-5","6+ years",0
722,"No",32,"Sales","Sales Executive","Male","Single","Travel_Rarely",10,3,"Marketing",4,3,2,4,5396,1,"No",12,3,4,0,10,2,2,10,7,0,8,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
723,"Yes",50,"Sales","Sales Executive","Male","Married","Travel_Frequently",8,2,"Technical Degree",2,3,2,3,6796,3,"Yes",14,3,1,1,18,4,3,4,3,1,3,"45-54","3-5 years","5000-6999","6-10","0-1 years",1
724,"No",38,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",1,4,"Life Sciences",2,4,2,4,7625,0,"No",13,3,3,0,10,4,2,9,7,1,8,"35-44","6-10 years","7000-9999","1-5","0-1 years",0
725,"No",27,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",1,2,"Life Sciences",3,3,3,1,7412,1,"No",11,3,4,0,9,3,3,9,7,0,7,"25-34","6-10 years","7000-9999","1-5","0-1 years",0
727,"No",32,"Research & Development","Research Director","Female","Single","Travel_Rarely",3,2,"Life Sciences",3,3,3,4,11159,3,"No",15,3,4,0,10,6,3,7,7,7,7,"25-34","6-10 years","10000+","1-5","6+ years",0
728,"No",47,"Sales","Sales Executive","Male","Single","Travel_Rarely",14,4,"Marketing",4,3,2,1,4960,2,"No",12,3,4,0,20,2,3,7,7,1,7,"45-54","6-10 years","3000-4999","11-20","0-1 years",0
729,"No",40,"Sales","Sales Executive","Male","Married","Travel_Frequently",5,4,"Life Sciences",4,2,3,1,10475,5,"Yes",21,4,3,1,20,2,3,18,13,1,12,"35-44","10+ years","10000+","1-5","0-1 years",0
730,"No",53,"Research & Development","Research Director","Male","Married","Travel_Rarely",7,3,"Life Sciences",3,4,4,3,14814,3,"No",19,3,3,0,32,3,3,5,1,1,3,"45-54","3-5 years","10000+","6-10","0-1 years",0
731,"No",41,"Human Resources","Manager","Male","Divorced","Travel_Rarely",10,4,"Human Resources",2,2,5,4,19141,3,"No",15,3,2,3,23,2,2,21,6,12,6,"35-44","10+ years","10000+","6-10","6+ years",0
